x,y,mag,time
-1005.368417,325.4242762,3.8,36712
-1029.09348,354.5634288,5.1,36712
-989.577134,305.6274474,4.4,36712
-1005.473394,304.8489204,3.9,36712
-1048.113129,340.8835976,4.5,36712
-1042.89176,365.1291521,3.8,36712
-976.1361235,300.511413,4.8,36712
-986.4532244,298.6207046,3.5,36712
-1061.296977,339.3265437,4.3,36712
-1055.66128,340.5499432,4.1,36712
-1047.9623,345.4435414,3.8,36712
-997.3827169,308.2966828,3.4,36712
-999.135373,303.0694302,3.6,36712
-1027.8728,393.8234321,4.2,36712
-1042.589565,364.5730614,4.7,36712
-1012.612262,327.9822935,4.5,36712
-1000.021954,305.9611018,4.7,36712
-1000.301881,311.0771362,4.7,36712
-1024.286732,342.6630879,4,36712
-1041.96968,359.5682451,6.4,36712
-1034.195632,361.2365172,4.7,36712
-1052.328089,344.8874507,4.6,36712
-1046.591932,329.205693,3.8,36712
-1054.111759,335.6563451,4.4,36712
-1009.236351,315.9707344,4.3,36712
-1023.620993,356.8990097,3.8,36712
-1025.232519,355.5643921,4,36712
-1040.036783,356.4541372,4.7,36712
-1044.848223,354.3409925,4.8,36712
-1036.524929,362.4599167,4.6,36712
-1030.006149,349.6698307,5.1,36712
-1035.762416,348.1127767,4.9,36712
-1047.268218,358.7897181,5,36712
-1040.686449,349.8922669,4.7,36712
-1084.963303,364.6842795,4.2,36712
-1017.929078,305.293793,3.7,36712
-1036.024961,358.7897181,3.7,36712
-1031.88947,347.556686,4.7,36712
-1056.963616,346.778159,4.1,36712
-1038.20102,341.8845609,3.6,36712
-1037.7357,331.3188376,4.4,36712
-1035.76636,343.9977055,5.6,36712
-1052.898331,347.1118135,5.2,36712
-1040.916681,357.5663186,4.9,36712
-1049.968638,328.5383842,4.8,36712
-1039.663173,363.7945344,5.7,36712
-1026.037588,361.4589535,5.2,36712
-1029.480453,347.0005953,4.8,36712
-1046.022867,364.9067158,3.6,36712
-1045.345208,312.5229721,3.9,36712
-1020.819025,359.9018995,3.4,36712
-998.3202181,315.8595162,4.5,36712
-1046.589571,348.6688674,4.9,36712
-1026.204247,354.2297744,4.2,36712
-1027.135792,354.8970832,3.4,36712
-1011.812912,292.9485795,3.6,36712
-987.9649686,288.6110721,4,36712
-1022.961316,305.5162293,4.8,36712
-1044.207491,331.6524921,3.5,36712
-1032.87999,349.3361762,4.2,36712
-1042.40706,345.9996321,4.3,36712
-1035.408649,379.5875102,4.7,36712
-1039.989552,346.3332865,3.5,36712
-1055.196618,346.2220683,4.3,36712
-1020.895327,305.0713567,3.6,36712
-1048.219315,354.4522107,3.7,36712
-975.9506074,364.1281888,4.6,36712
-1028.144759,301.8460307,3.7,36712
-1021.705585,353.5624655,4.4,36712
-1029.794933,368.6881325,3.6,36712
-1008.549786,369.2442232,4,36712
-1032.497493,358.4560637,3.9,36712
-993.897427,345.1098869,4.5,36712
-1012.484397,318.1950972,4.3,36712
-1022.143084,297.8421776,3.7,36712
-1030.117518,342.1069972,4.5,36712
-1017.467142,360.4579902,4.7,36712
-1039.891353,337.4358353,3.4,36712
-1021.189487,356.5653553,4.3,36712
-1037.768749,354.6746469,3.7,36712
-1035.036903,357.0102279,3.8,36712
-1022.920932,366.4637697,3.2,36712
-1038.100328,347.6679042,4.6,36712
-994.0265151,322.5326046,4.9,36712
-1041.202648,340.4387251,3.5,36712
-1063.110978,329.0944749,3.4,36712
-1020.558195,278.4902214,3.3,36712
-1031.697398,345.9996321,3.6,36712
-1034.939128,366.7974241,4.9,36712
-1036.170172,359.1233725,4.4,36712
-1035.934873,356.342919,4.5,36712
-1043.36616,356.1204828,4.7,36712
-1034.526324,344.4425781,4.6,36712
-1023.0972,352.5615023,4.7,36712
-1049.625985,342.8855242,3.9,36712
-1038.767074,342.5518697,4.4,36712
-1033.208377,357.0102279,5.7,36712
-1027.811819,352.1166297,4.8,36712
-1050.798684,473.6780562,4,36712
-991.5799074,338.5480167,4.5,36712
-1033.395863,350.4483576,5.4,36712
-1031.88947,347.556686,4.9,36712
-1041.793416,349.0025218,4.8,36712
-1013.870216,354.1185562,3.6,36712
-1034.34403,349.3361762,4.8,36712
-1031.487873,355.2307376,4.1,36712
-1049.191969,336.2124358,3.8,36712
-1061.175071,375.2500028,3.9,36712
-1039.672578,362.9047893,4.7,36712
-1036.866775,369.1330051,4.8,36712
-1107.998036,409.5051897,3.8,36712
-992.9275338,325.0906218,4.1,36712
-1041.516793,345.7771958,3.4,36712
-1010.796961,309.1864279,3.9,36713
-1014.608942,284.9408735,3.3,36713
-1040.898525,301.28994,3.2,36713
-1052.238752,361.6813897,3.8,36713
-1040.091985,315.9707344,3.6,36713
-985.6892077,301.5123762,4.4,36713
-1048.239766,349.4473944,4.7,36713
-1009.449572,278.0453488,3.7,36713
-1013.576234,356.7877916,4,36713
-1038.691632,345.6659776,4.6,36713
-1030.429726,348.335213,3.9,36713
-1046.870361,350.2259214,3.3,36713
-1027.413356,353.2288111,3.5,36713
-1057.228655,332.431019,3.7,36713
-1041.781847,338.5480167,4,36713
-1002.91498,312.4117539,3.3,36713
-1028.600889,309.4088642,3.8,36713
-1020.490481,359.5682451,3.5,36713
-1027.952646,335.2114725,4.4,36713
